path,label,start,end,subject,cam,dataset,age_group,gender_presentation,monk_skin_tone,race_ethnicity_omb,bmi_band,height_band,environment_category,camera_shot,speed,camera_elevation,camera_azimuth,camera_distance
fall/fall_ch_001,1,0.0,1.006,-1,-1,of-syn,children_5_12,female,mst7,white,underweight,short,outdoor,static_medium_wide,30fps_rt,top,front,far
fall/fall_ch_001,11,1.006,5.063,-1,-1,of-syn,children_5_12,female,mst7,white,underweight,short,outdoor,static_medium_wide,30fps_rt,top,front,far
fall/fall_ch_002,1,0.0,1.081,-1,-1,of-syn,children_5_12,female,mst10,mena,underweight,short,outdoor,static_wide,30fps_rt,high,left,medium
fall/fall_ch_002,2,1.081,4.969,-1,-1,of-syn,children_5_12,female,mst10,mena,underweight,short,outdoor,static_wide,30fps_rt,high,left,medium
fall/fall_ch_002,11,4.969,5.063,-1,-1,of-syn,children_5_12,female,mst10,mena,underweight,short,outdoor,static_wide,30fps_rt,high,left,medium
fall/fall_ch_003,1,0.0,5.063,-1,-1,of-syn,children_5_12,female,mst1,white,underweight,short,indoor,static_wide,30fps_rt,high,front,medium
fall/fall_ch_004,1,0.0,2.976,-1,-1,of-syn,children_5_12,female,mst2,black,obese,short,outdoor,static_wide,30fps_rt,top,rear,medium
fall/fall_ch_004,4,2.976,5.063,-1,-1,of-syn,children_5_12,female,mst2,black,obese,short,outdoor,static_wide,30fps_rt,top,rear,medium
fall/fall_ch_005,15,0.0,0.816,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,obese,avg,outdoor,static_wide,std_rt,high,left,far
fall/fall_ch_005,1,0.816,1.634,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,obese,avg,outdoor,static_wide,std_rt,high,left,far
fall/fall_ch_005,9,1.634,2.948,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,obese,avg,outdoor,static_wide,std_rt,high,left,far
fall/fall_ch_005,7,2.948,4.269,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,obese,avg,outdoor,static_wide,std_rt,high,left,far
fall/fall_ch_005,0,4.269,5.0625,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,obese,avg,outdoor,static_wide,std_rt,high,left,far
fall/fall_ch_006,8,0.0,0.872,-1,-1,of-syn,children_5_12,female,mst4,hispanic_latino,normal,avg,outdoor,static_wide,24fps_rt,top,right,far
fall/fall_ch_006,1,0.872,3.522,-1,-1,of-syn,children_5_12,female,mst4,hispanic_latino,normal,avg,outdoor,static_wide,24fps_rt,top,right,far
fall/fall_ch_006,2,3.522,5.063,-1,-1,of-syn,children_5_12,female,mst4,hispanic_latino,normal,avg,outdoor,static_wide,24fps_rt,top,right,far
fall/fall_ch_007,1,0.0,5.0625,-1,-1,of-syn,children_5_12,female,mst4,aian,normal,avg,indoor,static_wide,25fps_rt,high,left,far
fall/fall_ch_008,1,0.0,2.39,-1,-1,of-syn,children_5_12,male,mst6,aian,underweight,short,outdoor,static_wide,std_rt,low,right,far
fall/fall_ch_008,4,2.39,5.063,-1,-1,of-syn,children_5_12,male,mst6,aian,underweight,short,outdoor,static_wide,std_rt,low,right,far
fall/fall_ch_009,1,0.0,5.063,-1,-1,of-syn,children_5_12,male,mst1,white,overweight,tall,indoor,static_wide,24fps_rt,low,left,medium
fall/fall_ch_010,0,0.0,2.031,-1,-1,of-syn,children_5_12,female,mst9,nhpi,overweight,avg,outdoor,static_medium_wide,30fps_rt,low,front,far
fall/fall_ch_010,15,2.031,2.48,-1,-1,of-syn,children_5_12,female,mst9,nhpi,overweight,avg,outdoor,static_medium_wide,30fps_rt,low,front,far
fall/fall_ch_010,1,2.48,5.063,-1,-1,of-syn,children_5_12,female,mst9,nhpi,overweight,avg,outdoor,static_medium_wide,30fps_rt,low,front,far
fall/fall_ch_011,8,0.0,1.315,-1,-1,of-syn,children_5_12,female,mst3,aian,overweight,tall,indoor,static_wide,30fps_rt,top,rear,medium
fall/fall_ch_011,1,1.315,3.622,-1,-1,of-syn,children_5_12,female,mst3,aian,overweight,tall,indoor,static_wide,30fps_rt,top,rear,medium
fall/fall_ch_011,3,3.622,4.92,-1,-1,of-syn,children_5_12,female,mst3,aian,overweight,tall,indoor,static_wide,30fps_rt,top,rear,medium
fall/fall_ch_011,4,4.92,5.063,-1,-1,of-syn,children_5_12,female,mst3,aian,overweight,tall,indoor,static_wide,30fps_rt,top,rear,medium
fall/fall_ch_012,0,0.0,1.756,-1,-1,of-syn,children_5_12,male,mst9,hispanic_latino,overweight,short,indoor,static_wide,std_rt,eye,left,far
fall/fall_ch_012,1,1.756,5.0625,-1,-1,of-syn,children_5_12,male,mst9,hispanic_latino,overweight,short,indoor,static_wide,std_rt,eye,left,far
fall/fall_ch_013,1,0.0,3.60444,-1,-1,of-syn,children_5_12,female,mst4,aian,overweight,short,outdoor,static_medium_wide,25fps_rt,eye,front,medium
fall/fall_ch_013,2,3.604,5.0625,-1,-1,of-syn,children_5_12,female,mst4,aian,overweight,short,outdoor,static_medium_wide,25fps_rt,eye,front,medium
fall/fall_ch_014,1,0.0,3.652,-1,-1,of-syn,children_5_12,male,mst7,white,overweight,avg,outdoor,static_wide,25fps_rt,top,front,medium
fall/fall_ch_014,2,3.652,5.063,-1,-1,of-syn,children_5_12,male,mst7,white,overweight,avg,outdoor,static_wide,25fps_rt,top,front,medium
fall/fall_ch_015,15,0.0,0.535,-1,-1,of-syn,children_5_12,female,mst6,hispanic_latino,underweight,avg,indoor,static_wide,24fps_rt,eye,front,far
fall/fall_ch_015,1,0.535,2.942,-1,-1,of-syn,children_5_12,female,mst6,hispanic_latino,underweight,avg,indoor,static_wide,24fps_rt,eye,front,far
fall/fall_ch_015,7,2.942,5.063,-1,-1,of-syn,children_5_12,female,mst6,hispanic_latino,underweight,avg,indoor,static_wide,24fps_rt,eye,front,far
fall/fall_ch_016,1,0.0,2.914,-1,-1,of-syn,children_5_12,female,mst8,black,underweight,short,outdoor,static_wide,std_rt,top,front,medium
fall/fall_ch_016,2,2.914,5.063,-1,-1,of-syn,children_5_12,female,mst8,black,underweight,short,outdoor,static_wide,std_rt,top,front,medium
fall/fall_ch_017,1,0.0,5.063,-1,-1,of-syn,children_5_12,female,mst5,mena,obese,avg,outdoor,static_medium_wide,24fps_rt,eye,front,medium
fall/fall_ch_018,0,0.0,1.168,-1,-1,of-syn,children_5_12,male,mst7,aian,obese,short,indoor,static_medium_wide,24fps_rt,eye,front,far
fall/fall_ch_018,1,1.168,3.92,-1,-1,of-syn,children_5_12,male,mst7,aian,obese,short,indoor,static_medium_wide,24fps_rt,eye,front,far
fall/fall_ch_018,11,3.92,5.0625,-1,-1,of-syn,children_5_12,male,mst7,aian,obese,short,indoor,static_medium_wide,24fps_rt,eye,front,far
fall/fall_ch_019,9,0.0,1.454,-1,-1,of-syn,children_5_12,male,mst2,aian,normal,tall,indoor,static_medium_wide,30fps_rt,eye,front,far
fall/fall_ch_019,1,1.454,5.0625,-1,-1,of-syn,children_5_12,male,mst2,aian,normal,tall,indoor,static_medium_wide,30fps_rt,eye,front,far
fall/fall_ch_020,0,0.0,0.968,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,underweight,tall,indoor,static_medium_wide,30fps_rt,low,rear,medium
fall/fall_ch_020,1,0.968,1.96,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,underweight,tall,indoor,static_medium_wide,30fps_rt,low,rear,medium
fall/fall_ch_020,7,1.96,3.653,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,underweight,tall,indoor,static_medium_wide,30fps_rt,low,rear,medium
fall/fall_ch_020,0,3.653,4.509,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,underweight,tall,indoor,static_medium_wide,30fps_rt,low,rear,medium
fall/fall_ch_020,8,4.509,5.063,-1,-1,of-syn,children_5_12,female,mst1,hispanic_latino,underweight,tall,indoor,static_medium_wide,30fps_rt,low,rear,medium
fall/fall_ch_021,1,0.0,2.306,-1,-1,of-syn,children_5_12,male,mst4,black,obese,tall,outdoor,static_medium_wide,25fps_rt,high,left,far
fall/fall_ch_021,7,2.306,5.0625,-1,-1,of-syn,children_5_12,male,mst4,black,obese,tall,outdoor,static_medium_wide,25fps_rt,high,left,far
fall/fall_ch_022,1,0.0,5.063,-1,-1,of-syn,children_5_12,female,mst8,mena,normal,avg,outdoor,static_medium_wide,30fps_rt,high,rear,far
fall/fall_ch_023,8,0.0,0.466,-1,-1,of-syn,children_5_12,male,mst1,black,underweight,tall,indoor,static_medium_wide,std_rt,eye,front,far
fall/fall_ch_023,1,0.466,2.656,-1,-1,of-syn,children_5_12,male,mst1,black,underweight,tall,indoor,static_medium_wide,std_rt,eye,front,far
fall/fall_ch_023,4,2.656,3.217,-1,-1,of-syn,children_5_12,male,mst1,black,underweight,tall,indoor,static_medium_wide,std_rt,eye,front,far
fall/fall_ch_023,7,3.217,5.0625,-1,-1,of-syn,children_5_12,male,mst1,black,underweight,tall,indoor,static_medium_wide,std_rt,eye,front,far
fall/fall_ch_024,9,0.0,3.764,-1,-1,of-syn,children_5_12,male,mst7,aian,normal,tall,outdoor,static_wide,30fps_rt,low,left,medium
fall/fall_ch_024,1,3.764,5.0625,-1,-1,of-syn,children_5_12,male,mst7,aian,normal,tall,outdoor,static_wide,30fps_rt,low,left,medium
fall/fall_ch_025,1,0.0,2.151,-1,-1,of-syn,children_5_12,female,mst4,mena,underweight,tall,indoor,static_wide,24fps_rt,top,right,far
fall/fall_ch_025,4,2.151,4.277,-1,-1,of-syn,children_5_12,female,mst4,mena,underweight,tall,indoor,static_wide,24fps_rt,top,right,far
fall/fall_ch_025,7,4.277,5.063,-1,-1,of-syn,children_5_12,female,mst4,mena,underweight,tall,indoor,static_wide,24fps_rt,top,right,far
fall/fall_ch_026,1,0.0,3.64,-1,-1,of-syn,children_5_12,male,mst1,mena,overweight,short,outdoor,static_medium_wide,std_rt,top,right,far
fall/fall_ch_026,2,3.64,5.0625,-1,-1,of-syn,children_5_12,male,mst1,mena,overweight,short,outdoor,static_medium_wide,std_rt,top,right,far
fall/fall_ch_027,1,0.0,5.063,-1,-1,of-syn,children_5_12,male,mst6,black,underweight,avg,indoor,static_wide,std_rt,low,left,medium
fall/fall_ch_028,1,0.0,1.192,-1,-1,of-syn,children_5_12,male,mst6,nhpi,obese,tall,indoor,static_wide,24fps_rt,low,front,far
fall/fall_ch_028,9,1.192,5.0625,-1,-1,of-syn,children_5_12,male,mst6,nhpi,obese,tall,indoor,static_wide,24fps_rt,low,front,far
fall/fall_ch_029,1,0.0,2.158,-1,-1,of-syn,children_5_12,male,mst4,black,normal,short,outdoor,static_wide,24fps_rt,top,left,medium
fall/fall_ch_029,2,2.158,2.663,-1,-1,of-syn,children_5_12,male,mst4,black,normal,short,outdoor,static_wide,24fps_rt,top,left,medium
fall/fall_ch_029,7,2.663,4.34869,-1,-1,of-syn,children_5_12,male,mst4,black,normal,short,outdoor,static_wide,24fps_rt,top,left,medium
fall/fall_ch_029,4,4.34869,5.0625,-1,-1,of-syn,children_5_12,male,mst4,black,normal,short,outdoor,static_wide,24fps_rt,top,left,medium
fall/fall_ch_030,1,0.0,3.535,-1,-1,of-syn,children_5_12,male,mst1,nhpi,obese,tall,outdoor,static_wide,24fps_rt,eye,left,far
fall/fall_ch_030,2,3.535,5.0625,-1,-1,of-syn,children_5_12,male,mst1,nhpi,obese,tall,outdoor,static_wide,24fps_rt,eye,left,far
